"Mleko 2 % tłuszczu
 Płatki owsiane
 Rodzynki
 Cynamon do smaku","250
 40
 15
 -"
"Chleb żytni
 Masło
 Sałata
 Ser żółty
 Ogórek kiszony","45
 5
 10
 20
 70"
"Herbata, napar bez cukru",250
"Ryż biały
 Szynka dębowa
 Kukurydza konserwowa
 Papryka czerwona konserwowa
 Majonez","50
 100
 60
 100
 10"
Woda mineralna niegazowana,250
"Makaron pełnoziarnisty
 Mięso mielone drobiowe
 Oliwa z oliwek
 Cebula
 Pomidory z puszki
 Zioła do smaku","120
 200
 10
 50
 200
 -"
Woda mineralna niegazowana,250
Serek homogenizowany smak do wyboru,150
Mandarynki,400
Woda mineralna niegazowana,250
"Ryż biały
 Szynka dębowa
 Kukurydza konserwowa
 Papryka czerwona konserwowa
 Majonez","50
 100
 60
 100
 10"
Sok pomarańczowy 100%,250
"Kasza jaglana
 
 Jabłko starte na tarce
 Rodzynki
 Miód naturalny","75
 
 200
 20
 10"
"Chleb żytni
 Masło
 Sałata
 Ser żółty","45
 5
 10
 20"
"Herbata, napar bez cukru",250
"Serek wiejski
 Pomidory koktajlowe
 Chleb żytni","150
 250
 90"
Woda mineralna niegazowana,250
"Kurczak, filet
 Bułka tarta + jajko
 Oliwa z oliwek
 Kasza jęczmienna
 Buraki","300
 -
 -
 100
 200"
"Herbata, napar bez cukru",250
"Bułka ciemna z ziarnami
 Masło
 Sałata
 Ser żółty
 Ogórek kiszony","70
 10
 10
 20
 70"
Sok wielowarzywny,250
"Mieszanka warzywna mrożona
 Oliwa z oliwek","225
 10"
"Chleb żytni
 Masło
 Ser twarogowy chudy","90
 10
 50"
Sok jabłkowy 100%,250 ml
"Chleb żytni
 Ser żółty
 Szynka dębowa","180
 40
 40"
"Herbata, napar bez cukru",250
"Ryż brązowy
 Pomarańcza
 Jabłko
 Cynamon do smaku","50
 250
 200
 -"
Woda mineralna niegazowana,250
"Pierożki z tortelinii z serem lub grzybami kupne np. z Biedronki
 Kukurydza konserwowa
 Papryka czerwona
 Ogórek konserwowy
 Kurczak gotowany w bulionie
 Majonez
 Keczup","125
 
 60
 100
 150
 200
 5
 15"
"Herbata, napar bez cukru",250
"Bułka ciemna z ziarnami
 Masło
 Sałata
 Szynka dębowa","70
 5
 10
 20"
Suszone morele,50
Woda mineralna niegazowana,250
"Jogurt naturalny
 Banana
 Kiwi
 miód– wszystko zmiksować","150
 200
 100
 10"
"Chleb żytni
 Ser Almette","90
 10"
"Chleb żytni
 Masło
 Sałata
 Jajko gotowane","180
 20
 30
 120"
"Herbata zielona, napar bez cukru",250 ml
"Banan
 Mandarynki","200
 400"
Woda mineralna niegazowana,250
"Łosoś świeży
 Ryż brązowy
 Brokuły – ugotować al. dente","200
 100
 200"
Woda mineralna niegazowana,250
Migdały,30g
"Serek homogenizowany smak do wyboru
 Pomarańcza- pokroić w kostkę, wymieszać z serkiem","150
 250"
Woda mineralna niegazowana,250
Sardynki w sosie pomidorowym,140
"Chleb żytni
 Masło
 Sałata
 Ser żółty","45
 5
 10
 20"
"Herbata, napar bez cukru",250
Piwo,500 ml
"Bułka ciemna z ziarnami
 Masło
 Sałata
 Ser żółty
 Ogórek kiszony","70
 10
 10
 20
 70"
"Chleb żytni
 Masło
 Sałata
 Szynka dębowa
 Pomidor","90
 10
 10
 40
 100"
"Herbata, napar bez cukru",250
"Jabłko
 Pomarańcza
 Kiwi
 Ananas z puszki","200
 250
 200
 140"
Woda mineralna niegazowana,250 ml
"Polędwiczki wieprzowe
 Oliwa z oliwek
 Musztarda
 Kasza gryczana
 Surówka koperkowa kupna","250
 20
 15
 100
 250"
Woda mineralna niegazowana,250
"Ser twarogowy chudy
 Jogurt naturalny
 Ananas w puszce
 Nasiona słonecznika","250
 150
 210
 10"
Woda mineralna niegazowana,250
Jogurt owocowy smak do wyboru,150
"Chleb żytni
 Masło
 Sałata
 Szynka dębowa
 Ogórek kiszony","130
 10
 10
 60
 100"
"Herbata, napar bez cukru",250
